event,time,tWick15,body15,bWick15,tWick14,body14,bWick14,tWick13,body13,bWick13,tWick12,body12,bWick12,tWick11,body11,bWick11,tWick10,body10,bWick10,tWick9,body9,bWick9,tWick8,body8,bWick8,tWick7,body7,bWick7,tWick6,body6,bWick6,tWick5,body5,bWick5,tWick4,body4,bWick4,tWick3,body3,bWick3,tWick2,body2,bWick2,tWick1,body1,bWick1,target,targetSimple,target1,target2
HCOB Manufacturing PMI,2018.03.22 11:30,20,4,9,0,25,0,0,-18,2,4,12,2,11,-11,7,22,0,6,18,-10,0,2,1,16,18,-2,13,4,8,9,0,-12,5,4,17,9,3,8,3,7,-1,5,0,-15,0,N,N,N,N
Nondefense Capital Goods Orders ex Aircraft,2018.03.23 16:30,3,-25,7,17,-6,7,9,-11,5,4,-19,4,0,43,1,6,2,19,5,31,0,17,-2,1,14,-1,8,14,13,0,3,-10,4,11,-2,4,0,-5,13,8,10,0,11,-15,9,N,N,N,N
Core Personal Consumption Expenditures,2018.03.28 15:30,3,3,5,15,-1,1,3,-6,1,3,-15,2,3,-10,5,1,-13,34,3,-16,18,3,-16,0,0,11,14,8,19,9,2,-17,8,3,13,0,1,25,6,3,20,5,0,-8,6,N,N,N,N
Harmonized Index of Consumer Prices,2018.03.29 15:00,5,-25,1,0,-22,9,0,-35,4,13,5,2,12,-1,11,7,-15,20,22,-1,13,10,20,0,2,-8,7,12,13,0,13,5,0,2,-13,0,0,30,3,0,29,0,8,12,1,N,N,N,N
Core Personal Consumption Expenditures - Price Index,2018.03.29 15:30,1,19,13,10,-9,6,0,-25,0,4,0,1,0,-28,7,25,-5,22,8,-8,11,2,17,13,21,16,2,14,-12,14,3,36,5,5,-8,3,1,-29,5,4,13,6,1,-3,6,N,N,N,N
ISM Manufacturing PMI,2018.04.02 17:00,7,6,0,2,4,6,0,11,0,1,13,0,10,-18,1,7,-15,2,0,-18,1,8,11,4,5,-51,8,7,21,1,0,-4,21,10,-11,2,5,7,1,10,-10,5,8,13,5,N,N,N,N
Core Harmonized Index of Consumer Prices,2018.04.04 12:00,0,9,7,0,-10,0,0,-19,12,1,3,8,9,-9,0,15,-13,4,2,17,2,2,5,6,0,-6,6,12,10,4,10,9,0,17,0,14,6,-5,5,2,1,11,0,-10,0,N,N,N,N
Average Hourly Earnings,2018.04.06 15:30,2,30,3,21,8,8,6,-33,0,0,-27,22,9,-31,3,2,227,0,12,-99,15,2,-4,110,0,73,21,13,58,7,15,-12,17,7,2,26,1,-63,24,18,-62,0,29,-17,17,2U|2D|U|D,U,2U|2D|U|D,2U|2D|U|D
Fed's Chair Powell speech,2018.04.06 20:30,1,-8,4,0,6,7,1,-1,9,2,12,0,4,6,3,13,-12,23,6,-4,5,3,0,14,0,-23,2,1,-10,7,5,12,0,3,4,6,5,6,0,5,5,3,1,30,5,N,N,N,N
ECB's President Draghi speech,2018.04.11 14:00,1,5,7,0,-27,8,1,-4,25,0,3,20,12,40,0,1,-26,18,7,1,3,0,46,4,7,-19,4,0,20,26,18,-13,2,8,18,5,4,18,13,1,37,4,0,-13,13,N,N,N,N
Consumer Price Index ex Food & Energy,2018.04.11 15:30,12,-16,4,0,8,6,0,-24,0,0,-36,17,16,5,19,80,39,5,26,-14,18,21,-29,0,6,61,26,14,-3,20,20,3,8,4,-22,24,0,-7,27,20,12,0,3,1,10,U,U,U,U
FOMC Minutes,2018.04.11 21:00,1,-2,4,1,-12,1,15,2,0,2,28,0,6,5,10,11,-18,6,11,-30,4,14,12,0,0,-41,3,0,-42,1,14,-24,6,2,1,29,1,-31,5,6,5,23,4,33,0,D,D,D,D
ECB Monetary Policy Meeting Accounts,2018.04.12 14:30,3,-11,3,3,15,4,5,3,0,3,-11,0,0,-10,6,1,-84,85,0,29,32,33,45,2,0,-38,9,17,8,5,2,-23,2,11,-26,0,10,23,7,5,-21,0,8,22,2,D|U,D,D|U,D|U
Harmonized Index of Consumer Prices,2018.04.13 09:00,4,-4,1,0,3,0,2,-13,0,3,0,2,0,-6,1,9,5,0,9,5,0,2,-49,0,4,9,0,1,-30,2,3,-12,1,5,18,0,3,5,4,5,-15,0,5,-5,2,N,N,N,N
Retail Sales Control Group,2018.04.16 15:30,3,-13,4,2,-1,0,3,-7,0,0,-1,3,19,11,0,17,18,6,22,40,0,2,32,3,17,-11,1,0,-46,9,11,6,5,0,25,1,0,-9,13,4,4,4,3,-5,1,U,U,U,U
Core Harmonized Index of Consumer Prices,2018.04.18 12:00,0,-22,1,6,-31,1,8,-18,0,11,-4,5,16,0,4,1,-137,42,20,7,28,5,20,15,11,22,4,3,-46,1,17,-1,25,1,-5,19,20,11,2,0,12,5,7,20,3,D,D,D,D
HCOB Manufacturing PMI,2018.04.23 10:30,14,3,1,0,-18,12,3,-4,9,4,42,0,8,-26,2,24,83,3,1,-67,0,25,-15,3,23,-19,0,9,-30,5,21,-7,0,2,26,11,7,11,7,20,6,0,0,-35,4,U|D,U,U|D,U|D
ECB Main Refinancing Operations Rate,2018.04.26 14:45,3,-15,0,0,-14,6,6,-10,5,4,34,3,5,-12,10,20,49,1,11,-52,0,3,-17,34,31,0,2,20,-16,7,4,36,0,12,-15,0,10,0,6,12,4,14,1,-21,5,N,N,N,N
ECB Press Conference,2018.04.26 15:30,12,9,6,11,-3,1,2,-7,1,0,12,2,2,-12,4,0,72,11,28,-41,0,7,-35,0,1,2,36,12,-78,0,27,109,148,0,-71,68,45,31,12,39,103,4,51,63,7,U|3D|2U,U,U|3D|2U,U|3D|2U
Nondefense Capital Goods Orders ex Aircraft,2018.04.26 16:30,5,17,4,19,19,18,4,32,10,1,45,19,0,-9,27,9,-4,19,7,5,18,16,-17,2,3,-30,5,5,-30,5,20,16,5,14,-1,11,18,-5,5,1,-25,21,5,-36,12,D,D,D,D
Core Personal Consumption Expenditures,2018.04.27 15:30,9,-1,8,7,3,5,3,-10,0,1,16,0,13,5,0,0,-43,133,41,22,11,63,22,2,15,-96,6,20,-12,1,19,74,4,0,-58,14,3,-52,6,37,-8,7,1,-17,14,D|U|D,D,D|U|D,D|U|D
Harmonized Index of Consumer Prices,2018.04.30 15:00,3,0,8,0,-3,18,0,-50,1,0,27,1,3,4,12,1,-19,28,0,-25,2,1,24,0,3,14,14,14,0,3,0,15,3,6,-14,7,1,-6,11,13,13,0,7,8,0,N,N,N,N
Core Personal Consumption Expenditures - Price Index,2018.04.30 15:30,11,16,4,3,-3,5,7,1,2,8,2,2,7,-3,7,6,28,0,1,34,2,15,-17,6,16,14,0,1,30,0,4,-4,16,7,-20,1,7,3,6,1,9,3,8,3,1,N,N,N,N
ISM Manufacturing PMI,2018.05.01 17:00,2,-8,7,5,9,2,6,0,4,0,-47,5,6,-16,2,51,17,4,0,70,0,1,10,9,10,8,4,0,45,8,1,-5,18,3,-3,7,11,-20,3,0,-43,3,11,-7,6,U,U,U,U
Gross Domestic Product s.a.,2018.05.02 12:00,3,-8,10,0,20,0,0,-8,12,2,2,8,5,0,23,14,-9,8,0,14,16,8,-30,11,11,6,11,0,-21,0,0,4,21,8,-5,12,9,28,0,6,-4,3,1,11,2,N,N,N,N
Fed Interest Rate Decision,2018.05.02 21:00,6,-18,0,6,-2,7,0,-16,15,5,-9,10,25,2,8,28,23,34,33,122,18,75,94,0,34,98,0,9,58,0,23,-29,21,21,-102,13,52,19,79,38,38,22,21,-22,25,3U|D,U,3U|D,3U|D
Core Harmonized Index of Consumer Prices,2018.05.03 12:00,18,-11,2,1,9,5,2,-30,0,18,-3,6,12,-28,9,4,-78,92,27,-22,24,26,0,6,4,-20,1,0,-66,1,35,-13,9,8,52,0,3,32,13,18,11,1,0,-22,15,2D|U,D,2D|U,2D|U
Average Hourly Earnings,2018.05.04 15:30,9,-34,8,2,15,0,1,22,2,0,-63,3,20,-3,38,89,247,14,48,-141,11,54,-14,93,19,105,1,19,10,77,29,57,16,39,-30,15,31,5,24,1,-170,15,6,-117,12,3U|2D|2U|2D,U,3U|2D|2U|2D,3U|2D|2U|2D
Fed's Chair Powell speech,2018.05.08 10:15,4,18,3,6,17,4,1,-13,7,6,10,0,16,21,7,11,-2,24,0,10,10,2,46,0,13,14,10,6,-19,1,11,-9,4,4,-26,1,9,-1,10,17,-3,2,10,19,1,N,N,N,N
President Trump speech,2018.05.08 21:00,3,-28,1,2,-2,8,0,-26,4,11,8,2,2,-15,6,1,-15,7,5,2,6,7,0,2,3,4,6,5,2,8,4,-2,0,1,-5,4,4,13,1,7,3,2,0,-5,2,N,N,N,N
Consumer Price Index ex Food & Energy,2018.05.10 15:30,0,-12,10,4,28,4,5,8,5,7,9,0,55,21,0,51,250,10,9,-23,76,3,29,44,6,76,9,18,-38,0,14,2,36,5,-43,7,10,55,50,18,88,17,40,27,14,4U,U,4U,4U
ECB's President Draghi speech,2018.05.11 16:15,4,-3,9,2,6,7,2,11,14,4,11,18,8,-21,11,3,-28,5,10,15,4,3,3,11,1,-48,1,9,39,1,7,16,7,17,29,9,3,24,0,2,16,7,3,-15,3,N,N,N,N
Gross Domestic Product,2018.05.15 09:00,17,6,2,0,-7,1,7,0,1,0,7,2,1,-3,8,5,-52,0,0,-39,8,6,18,0,2,12,6,3,17,2,5,28,3,0,-36,0,6,18,2,2,6,1,0,-12,3,N,N,N,N
Gross Domestic Product s.a.,2018.05.15 12:00,4,16,5,4,-4,1,0,-4,1,2,23,6,9,-5,7,6,-10,14,1,18,2,2,34,4,0,2,22,7,-4,18,0,17,2,4,-1,21,0,-9,9,16,1,1,5,18,1,N,N,N,N
Retail Sales Control Group,2018.05.15 15:30,0,37,6,10,1,17,0,-25,0,7,-9,8,12,-10,5,54,-80,1,0,-33,43,21,-35,17,29,-22,4,21,6,0,13,-20,12,17,-34,11,5,-17,11,0,-55,28,14,-5,5,2D,D,2D,2D
Harmonized Index of Consumer Prices,2018.05.16 09:00,0,-1,6,4,1,1,0,9,0,0,-12,0,10,3,0,0,-24,10,7,-16,4,11,-2,0,21,8,1,6,5,0,1,-16,6,6,-16,2,2,13,3,6,9,1,0,-18,1,N,N,N,N
Core Harmonized Index of Consumer Prices,2018.05.16 12:00,2,30,8,4,25,0,2,20,5,15,3,0,1,30,13,1,-34,14,6,30,0,7,7,0,0,-44,0,19,12,0,13,-7,0,0,-41,17,9,-3,20,1,22,1,3,-21,19,D,D,D,D
ECB's President Draghi speech,2018.05.16 15:00,2,-9,1,0,11,9,2,0,17,4,39,0,2,7,11,12,15,6,0,-10,7,9,4,6,1,4,14,6,-1,7,6,-6,5,0,6,8,0,-30,9,0,-9,17,1,18,7,N,N,N,N
HCOB Manufacturing PMI,2018.05.23 10:30,11,-2,39,0,32,0,13,10,4,1,41,1,4,4,14,0,-365,1,46,3,55,65,0,4,19,-52,8,9,46,0,2,-155,8,56,-3,16,34,15,0,14,21,0,10,4,40,4D,D,4D,4D
FOMC Minutes,2018.05.23 21:00,2,1,8,4,2,2,2,-5,0,2,4,6,5,-11,5,8,27,4,30,-51,3,19,28,1,7,2,20,5,0,13,0,54,0,9,12,4,39,34,0,7,-4,22,1,33,7,U,U,U,U
ECB Monetary Policy Meeting Accounts,2018.05.24 14:30,0,5,6,5,-1,12,0,-14,8,4,16,0,1,-6,0,0,-13,90,16,16,2,9,18,1,11,40,0,4,-36,14,0,-19,22,0,-50,6,10,10,7,14,-11,9,1,25,0,D,D,D,D
Nondefense Capital Goods Orders ex Aircraft,2018.05.25 15:30,3,-12,3,0,-50,3,5,18,12,0,34,4,2,-16,12,27,-7,34,4,31,26,6,-2,16,7,-25,5,26,-12,4,17,2,12,23,2,9,5,-7,16,17,11,10,9,5,10,N,N,N,N
Fed's Chair Powell speech,2018.05.25 16:20,2,-33,15,33,16,2,8,23,18,0,-57,9,18,-5,13,6,-5,18,15,19,19,6,20,13,17,11,3,15,1,12,0,-5,39,5,-13,17,18,-14,0,26,-29,2,0,-39,1,N,N,N,N
Harmonized Index of Consumer Prices,2018.05.30 15:07,0,-11,19,5,-11,28,4,30,8,5,10,9,36,55,10,4,-15,14,36,-3,9,29,-1,22,8,-41,3,7,10,2,7,-11,1,0,-20,3,8,-51,0,21,35,0,11,43,0,D,D,D,D
Core Personal Consumption Expenditures,2018.05.30 15:30,0,-13,12,0,-17,0,6,-8,11,7,-2,6,4,6,8,35,-62,0,9,60,1,12,25,1,10,21,27,5,-59,22,8,-28,8,12,10,0,14,-23,2,0,-16,4,13,3,3,N,N,N,N
G7 Meeting,2018.05.31 03:00,5,-4,3,0,-8,1,0,-6,5,0,-5,6,0,-4,1,5,6,6,4,0,6,6,3,2,0,-25,11,0,-16,9,5,1,9,5,-4,10,9,-7,3,1,-15,2,7,0,10,N,N,N,N
Core Harmonized Index of Consumer Prices,2018.05.31 12:00,20,-16,0,4,6,13,0,12,19,13,40,1,8,3,12,34,-83,1,1,33,29,2,-56,13,35,-11,9,24,-20,16,7,11,4,18,1,5,0,-35,15,7,11,0,2,-7,4,2D,D,2D,2D
Core Personal Consumption Expenditures - Price Index,2018.05.31 15:30,12,1,10,16,-2,0,1,-10,1,7,21,0,8,16,5,7,-25,26,7,24,8,4,-2,12,7,-13,8,0,-98,6,8,41,2,0,16,17,6,55,0,5,5,10,32,8,2,D|U,D,D|U,D|U
G7 Meeting,2018.06.01 03:00,0,-8,0,3,-10,0,0,-13,7,0,4,0,5,-4,6,10,-6,0,1,-5,9,9,-1,5,4,1,0,0,-12,6,7,-1,0,1,-5,4,2,-1,6,2,9,0,2,1,0,N,N,N,N
Average Hourly Earnings,2018.06.01 15:30,1,-2,14,1,9,3,10,-1,9,17,-3,0,22,15,5,13,-213,22,81,58,1,12,47,0,26,105,32,35,-23,12,43,-2,35,1,25,31,4,107,5,35,-31,12,28,65,2,2D|3U,D,2D|3U,2D|3U
ISM Manufacturing PMI,2018.06.01 17:00,1,-20,5,17,-14,1,4,2,24,5,18,0,0,-44,2,20,23,44,18,-32,0,4,58,0,0,-18,32,6,31,25,26,-6,1,20,10,9,0,-19,31,23,-21,3,25,-30,14,N,N,N,N
Gross Domestic Product s.a.,2018.06.07 12:00,0,-17,14,6,4,15,0,18,2,0,23,0,15,-3,0,4,24,15,5,-10,1,0,-14,2,34,1,0,2,32,0,6,10,4,1,7,6,9,10,7,11,-2,0,0,-17,1,N,N,N,N
G7 Meeting,2018.06.08 03:00,0,5,0,1,-5,0,1,0,4,0,-4,1,0,4,5,0,-6,11,2,30,0,6,17,4,0,11,0,0,9,0,0,-15,0,2,-1,10,1,-15,0,0,4,10,1,-1,13,N,N,N,N
Trump - Kim Meeting,2018.06.12 04:00,1,20,0,1,4,6,0,0,7,0,-9,5,4,4,3,3,-26,5,0,-17,0,1,-10,0,0,-31,4,6,-4,6,8,30,1,0,6,4,1,10,0,0,5,13,8,2,3,N,N,N,N
Consumer Price Index ex Food & Energy,2018.06.12 15:30,20,-15,2,4,3,4,1,-11,1,0,-10,6,5,-5,11,22,104,36,4,13,22,23,29,0,2,-47,1,7,16,7,24,29,6,3,-8,8,5,-1,32,13,-1,22,21,2,20,U,U,U,U
FOMC Economic Projections,2018.06.13 21:00,9,-8,1,3,2,4,3,20,3,0,-15,12,2,-10,9,0,-230,9,18,-21,21,0,-19,96,4,-31,42,1,-74,15,0,-32,46,3,31,45,20,60,5,28,-11,11,3,-103,7,4D,D,4D,4D
FOMC Press Conference,2018.06.13 21:30,0,-32,13,19,10,15,1,-62,30,19,39,10,18,-21,12,0,-64,7,7,21,4,3,-27,98,44,3,38,16,-41,0,16,68,2,24,-11,57,21,-44,2,1,63,11,32,21,8,D,D,D,D
Harmonized Index of Consumer Prices,2018.06.14 09:00,0,-1,0,0,6,0,0,-6,1,0,6,2,0,4,6,0,-25,28,7,5,0,0,17,4,3,40,0,7,17,9,1,3,11,6,-3,1,1,2,17,1,-21,0,5,-17,1,N,N,N,N
ECB Main Refinancing Operations Rate,2018.06.14 14:45,1,11,0,2,2,10,2,-6,4,1,-39,4,18,31,0,57,301,15,25,-371,59,54,-192,18,63,-53,20,6,-121,6,34,5,68,7,-3,28,53,-5,23,1,-77,41,5,-141,35,3U|9D,U,3U|9D,3U|9D
ECB Press Conference,2018.06.14 15:30,12,-13,3,5,-75,10,25,-1,2,11,-5,8,11,14,3,0,-61,55,33,-59,1,29,113,2,45,-50,17,3,88,14,0,-74,59,54,-28,20,27,5,49,22,49,4,4,-35,26,D,D,D,D
Core Harmonized Index of Consumer Prices,2018.06.15 12:00,1,-35,11,3,-13,19,8,2,1,9,6,7,18,-4,2,17,-44,9,22,-4,4,5,4,8,23,15,0,2,44,5,4,4,8,6,-10,0,14,-1,17,8,25,1,11,-5,5,N,N,N,N
ECB's President Draghi speech,2018.06.18 20:30,5,-8,3,5,5,2,0,11,2,0,-14,6,3,0,7,0,3,6,0,-4,6,0,21,1,4,4,2,7,-10,0,3,-9,4,0,9,0,0,11,0,0,-22,1,1,-9,2,N,N,N,N
ECB's President Draghi speech,2018.06.19 11:00,10,6,1,6,-48,2,0,19,6,9,-7,1,10,7,8,14,55,15,1,-18,48,3,56,5,53,24,5,10,-41,6,15,-32,0,15,1,12,14,-31,20,1,27,6,8,-27,2,U|D,U,U|D,U|D
ECB's President Draghi speech,2018.06.20 16:30,9,-1,4,62,22,6,0,-17,50,10,1,18,6,-18,22,11,-44,12,1,11,23,13,-23,6,15,4,4,3,-5,16,9,14,5,0,-26,0,11,10,10,5,39,1,23,-2,0,N,N,N,N
Bank Stress Test Results,2018.06.21 00:00,3,-2,13,1,-5,5,1,-5,3,0,-5,1,3,-47,8,0,19,0,0,-18,30,7,33,0,0,-15,22,10,2,0,6,1,0,0,24,0,0,-13,14,1,-3,3,0,2,0,N,N,N,N
HCOB Manufacturing PMI,2018.06.22 10:30,1,20,4,0,-16,6,10,5,5,1,5,3,21,-5,5,36,126,0,1,-31,18,9,-27,13,12,-17,6,11,-13,7,8,-21,0,11,-14,9,8,-33,5,3,-18,10,5,8,18,U|D,U,U|D,U|D
Nondefense Capital Goods Orders ex Aircraft,2018.06.26 15:30,4,-9,3,7,-17,4,9,-10,2,3,39,12,10,-8,3,0,-13,11,0,-19,1,4,19,3,9,-3,5,8,63,2,12,20,14,3,-15,7,1,11,4,0,-16,6,2,-11,1,N,N,N,N
Harmonized Index of Consumer Prices,2018.06.28 15:00,6,-4,13,9,22,2,8,-5,12,0,-10,3,3,12,6,9,-7,23,8,-5,2,1,-13,0,4,-7,2,2,13,0,1,33,3,13,0,8,3,-12,2,8,2,9,0,-4,14,N,N,N,N
Core Personal Consumption Expenditures,2018.06.28 15:30,3,-15,4,3,17,0,5,-8,1,8,8,4,5,2,7,12,73,9,2,2,21,2,2,7,29,34,0,0,-45,0,6,-50,26,8,4,6,5,28,0,11,33,9,5,-47,5,U|D,U,U|D,U|D
Core Harmonized Index of Consumer Prices,2018.06.29 12:00,6,22,9,0,-28,4,0,13,1,15,-15,1,13,-4,23,0,20,8,2,38,6,23,61,0,0,-34,7,21,1,2,7,-3,22,8,1,20,8,-20,4,20,24,0,11,-31,1,U,U,U,U
Core Personal Consumption Expenditures - Price Index,2018.06.29 15:30,2,2,22,2,27,1,2,-33,2,11,1,2,26,-5,30,27,9,41,49,-32,9,9,-10,27,18,25,19,0,4,47,18,-7,22,0,31,6,3,20,5,13,-8,2,3,50,0,N,N,N,N
ISM Manufacturing PMI,2018.07.02 17:00,4,17,0,5,0,9,5,-4,0,1,-8,10,19,3,4,2,-27,33,2,13,4,2,28,1,3,-25,20,10,-8,13,8,0,15,0,-25,2,0,-28,13,2,16,1,3,40,0,N,N,N,N
FOMC Minutes,2018.07.05 21:00,0,-5,8,3,5,2,0,-24,0,3,2,2,0,-10,18,1,-18,54,6,77,2,26,9,7,1,-23,1,0,-49,10,9,-50,0,12,54,0,19,-58,0,15,13,0,17,-2,9,N,N,N,N
Average Hourly Earnings,2018.07.06 15:30,13,-26,4,11,8,7,12,-4,11,14,-9,21,13,-32,18,178,108,0,14,155,2,4,7,40,39,-37,3,25,-1,20,9,105,12,11,70,30,28,55,0,4,-64,2,16,-29,3,4U,U,4U,4U
ECB's President Draghi speech,2018.07.09 16:00,5,-8,1,0,-11,2,1,-14,2,1,-5,6,3,7,7,1,8,0,27,29,12,2,-20,13,6,30,6,0,-35,6,5,-11,6,1,-6,13,6,-22,16,2,4,10,5,-5,10,N,N,N,N
ECB's President Draghi speech,2018.07.09 18:00,22,-17,6,9,15,4,3,32,9,4,-10,12,14,9,8,13,16,7,7,-2,6,12,-2,14,1,19,3,0,-17,14,5,-13,7,8,-7,0,3,-5,11,1,-15,0,3,-6,10,N,N,N,N
ECB's President Draghi speech,2018.07.11 10:00,0,-9,17,3,-11,5,5,0,9,5,-15,0,9,-12,6,1,41,5,5,-5,4,5,30,5,7,-5,8,4,-45,0,6,-58,2,1,15,22,10,18,0,0,20,0,0,-11,22,N,N,N,N
Harmonized Index of Consumer Prices,2018.07.12 09:00,1,16,5,1,4,0,0,-19,6,0,-2,4,7,-1,4,1,-13,15,1,50,1,5,-13,2,4,7,11,0,-10,0,0,9,8,0,-12,5,5,-22,5,7,-20,0,5,0,9,N,N,N,N
ECB Monetary Policy Meeting Accounts,2018.07.12 14:30,6,14,0,1,-17,12,10,0,0,5,11,0,8,11,5,0,-28,25,2,19,0,7,-7,0,4,-15,13,13,3,15,1,1,7,11,-29,5,7,-9,11,1,29,0,9,2,5,N,N,N,N
Consumer Price Index ex Food & Energy,2018.07.12 15:30,0,32,2,6,-7,0,8,7,0,6,-13,5,12,-18,3,26,64,19,1,-58,6,1,30,15,0,3,29,3,-33,13,0,-28,34,9,62,0,7,53,3,0,18,14,15,89,14,2U,U,2U,2U
Fed's Chair Powell speech,2018.07.12 20:30,2,4,2,2,1,5,5,-1,1,3,19,4,0,21,1,0,0,12,1,17,2,3,1,9,0,20,0,6,-6,0,8,2,4,3,-5,0,5,2,1,1,0,3,0,-23,7,N,N,N,N
Trump - Putin meeting,2018.07.16 00:00,3,-1,3,5,-1,1,3,4,5,0,-9,1,9,8,0,0,2,4,3,-1,2,0,-106,21,5,7,2,0,-5,0,16,46,6,25,-9,1,6,-2,1,7,-2,0,0,17,3,N,N,N,N
Retail Sales Control Group,2018.07.16 15:30,6,-5,6,2,-6,0,0,-7,1,12,0,0,4,-12,3,49,-7,12,17,-16,1,0,-20,10,1,6,8,0,-28,20,12,-6,3,3,-14,1,1,5,4,3,10,9,0,7,3,N,N,N,N
Fed's Chair Powell speech,2018.07.17 17:00,4,-3,12,7,-4,6,1,-8,6,2,5,7,0,-8,18,3,47,10,0,80,1,29,12,10,0,-26,1,26,10,8,2,-41,33,3,-13,3,1,5,14,5,-30,9,16,15,16,U,U,U,U
Core Harmonized Index of Consumer Prices,2018.07.18 12:00,1,0,16,9,14,0,0,-34,1,1,1,15,3,2,6,0,-40,2,21,-3,6,8,5,23,12,19,12,3,28,4,4,30,7,9,-1,12,6,10,6,1,-11,7,4,-17,7,N,N,N,N
Fed's Chair Powell speech,2018.07.18 17:00,3,-2,3,0,-1,12,4,1,8,7,4,10,0,-4,11,7,-5,8,23,12,4,6,-5,3,11,-1,5,2,20,1,13,-4,1,3,2,15,8,-10,2,0,-13,13,3,3,2,N,N,N,N
HCOB Manufacturing PMI,2018.07.24 10:30,3,-6,3,5,25,0,0,11,6,14,-3,1,9,-16,0,6,213,0,29,36,23,46,-18,3,3,12,14,0,-26,5,18,49,0,10,-20,4,16,-10,2,2,-29,4,2,-7,0,2U,U,2U,2U
Trump - Juncker meeting,2018.07.25 20:30,15,5,8,6,-10,1,16,3,5,0,-3,9,0,31,0,0,-5,15,16,-5,6,1,4,16,3,-14,5,10,5,5,1,-1,9,0,-22,9,19,9,3,13,2,0,4,19,3,N,N,N,N
ECB Main Refinancing Operations Rate,2018.07.26 14:45,0,-12,15,1,-4,2,3,-25,3,5,33,0,28,26,1,21,-21,37,26,0,5,4,2,2,22,12,12,1,31,2,0,-4,10,5,-3,2,10,-6,0,2,-35,15,16,-16,3,N,N,N,N
ECB Press Conference,2018.07.26 15:30,1,-13,4,0,4,2,0,8,2,3,-2,2,0,-9,5,13,11,13,34,18,108,78,-12,22,6,33,5,0,81,5,3,-54,8,4,69,16,42,18,11,26,4,24,19,1,11,D|2U,D,D|2U,D|2U
Core Personal Consumption Expenditures,2018.07.27 15:30,5,12,1,0,-8,7,7,3,1,2,-17,2,13,6,13,5,115,4,0,-43,23,28,14,15,23,-50,1,3,-44,64,13,43,3,22,4,20,1,-25,5,22,3,9,12,54,0,U|D,U,U|D,U|D
Harmonized Index of Consumer Prices,2018.07.30 15:00,0,-28,0,3,1,10,0,-9,3,4,3,5,1,15,14,19,-15,4,0,13,7,7,19,1,4,4,4,12,1,4,8,11,3,9,-3,2,3,16,0,2,9,1,0,-3,10,N,N,N,N
Core Harmonized Index of Consumer Prices,2018.07.31 12:00,12,17,1,15,-6,4,29,10,8,15,5,0,1,-36,17,40,-1,10,3,-25,13,1,-37,0,1,-19,0,1,-30,0,8,28,5,0,27,3,3,3,4,1,30,2,1,8,19,D,D,D,D
Core Personal Consumption Expenditures - Price Index,2018.07.31 15:30,0,1,15,0,-2,3,1,0,3,9,-2,3,6,-6,2,11,88,6,5,9,24,2,1,11,3,-30,5,6,5,14,6,5,6,5,-8,23,4,4,9,5,-7,8,4,-1,6,U,U,U,U
ISM Manufacturing PMI,2018.08.01 17:00,4,9,0,0,-4,5,5,-3,4,4,7,6,23,-11,0,18,42,0,4,1,9,0,-16,5,19,-15,12,3,33,0,8,29,3,13,-6,20,7,-24,2,4,-2,15,4,-3,6,N,N,N,N
Fed Interest Rate Decision,2018.08.01 21:00,17,9,2,0,-1,2,0,5,5,0,-12,0,10,-6,0,10,-20,33,0,9,27,14,98,0,0,-50,2,0,-19,18,3,21,2,16,20,12,0,-20,5,8,-2,3,11,15,0,U,U,U,U
Average Hourly Earnings,2018.08.03 15:30,15,-7,1,0,-14,16,4,-15,3,0,23,4,11,-12,12,45,109,17,2,116,13,0,-104,13,9,-45,44,11,33,42,13,-29,17,20,-21,0,6,64,0,7,61,0,4,-20,18,2U|D,U,2U|D,2U|D
Consumer Price Index ex Food & Energy,2018.08.10 15:30,8,-3,12,0,9,7,5,4,0,7,-27,4,9,-96,6,29,33,82,27,7,2,21,-20,10,14,-30,37,15,-5,57,63,-25,6,0,46,17,15,9,19,11,12,3,14,26,0,N,N,N,N
Gross Domestic Product,2018.08.14 09:00,0,-3,6,5,4,1,3,2,12,5,0,6,6,-9,0,14,-3,5,7,3,7,1,-2,6,0,-35,1,7,-1,1,11,40,10,0,-21,5,7,40,2,17,33,3,12,1,11,N,N,N,N
Gross Domestic Product s.a.,2018.08.14 12:00,0,-57,0,15,-24,1,7,17,0,0,-3,6,0,-20,18,18,4,8,19,8,8,1,-36,2,17,-2,6,13,-17,20,11,42,8,1,27,1,11,18,12,25,2,6,5,7,23,N,N,N,N
Retail Sales Control Group,2018.08.15 15:30,0,-16,12,0,7,4,27,-1,0,10,2,3,4,-9,11,1,-30,38,1,-13,10,2,23,12,24,-11,2,16,-28,0,12,0,2,5,29,3,4,-6,12,6,26,0,5,5,12,N,N,N,N
Core Harmonized Index of Consumer Prices,2018.08.17 12:00,14,-3,3,2,17,2,2,13,8,9,6,5,0,-49,1,17,5,7,10,-9,1,4,25,2,0,-29,0,0,-52,10,9,-2,18,4,25,4,2,-7,3,2,-28,5,3,23,5,N,N,N,N
FOMC Minutes,2018.08.22 21:00,3,-2,5,5,-8,1,0,-16,0,0,-15,0,23,48,44,52,135,4,6,30,57,20,-28,9,6,79,8,24,30,26,0,-27,22,4,37,16,27,-19,21,4,-62,14,28,5,2,2U,U,2U,2U
