event,time,tWick15,body15,bWick15,tWick14,body14,bWick14,tWick13,body13,bWick13,tWick12,body12,bWick12,tWick11,body11,bWick11,tWick10,body10,bWick10,tWick9,body9,bWick9,tWick8,body8,bWick8,tWick7,body7,bWick7,tWick6,body6,bWick6,tWick5,body5,bWick5,tWick4,body4,bWick4,tWick3,body3,bWick3,tWick2,body2,bWick2,tWick1,body1,bWick1,target,targetSimple,target1,target2
Goods and Services Trade Balance,2007.09.11 15:30,10,0,10,10,20,0,0,40,0,10,0,10,0,30,0,0,-20,20,20,-20,10,0,20,0,10,-10,0,10,0,10,20,0,0,0,10,0,0,-40,0,0,10,10,10,-10,0,N,N,N,N
Retail Sales,2007.09.14 15:30,0,10,10,20,0,0,20,-10,10,0,-40,0,0,30,10,10,0,10,0,0,10,10,50,0,0,20,0,0,10,0,0,0,0,10,20,0,20,0,0,0,-20,0,0,-10,0,U,U,U,U
Fed Interest Rate Decision,2007.09.18 21:15,20,10,0,0,10,10,0,-20,20,0,30,0,10,-30,0,10,-10,20,40,0,0,30,0,20,0,70,20,10,-30,10,10,-20,10,20,0,20,10,0,0,0,-30,0,10,0,0,N,N,N,N
Consumer Price Index,2007.09.19 15:30,0,-10,20,10,-10,0,0,0,10,0,10,0,10,0,0,0,-10,10,10,10,0,0,10,0,20,0,0,0,-30,0,0,-10,0,0,20,0,10,-10,0,0,-10,0,10,20,0,N,N,N,N
IFO – Business Climate,2007.09.25 11:00,10,-20,10,0,-10,0,20,0,0,0,0,10,0,-30,0,10,0,10,0,10,0,20,0,0,0,10,0,0,20,10,0,0,0,0,20,0,0,10,0,0,50,0,0,10,0,U,U,U,U
Core Personal Consumption Expenditures,2007.09.27 15:30,10,0,0,0,0,10,0,10,10,0,0,0,0,-10,0,0,20,10,0,0,10,0,10,0,0,10,0,0,-20,10,0,-10,0,0,10,0,0,0,0,0,-20,0,0,0,10,N,N,N,N
Core Personal Consumption Expenditures - Price Index,2007.09.28 15:30,10,0,0,0,50,0,20,0,0,0,0,10,0,10,10,10,-30,0,0,20,0,10,-10,10,0,-10,10,10,0,0,0,20,0,0,-20,0,0,-20,0,0,10,0,0,-10,10,N,N,N,N
ECB Main Refinancing Operations Rate,2007.10.04 14:45,20,-60,10,10,-20,40,10,-10,10,10,-30,0,20,-40,20,20,-70,0,10,-50,10,20,40,0,20,-10,0,0,20,10,0,0,20,0,-50,20,10,30,0,10,-60,0,0,20,20,D,D,D,D
ECB's President Trichet speech,2007.10.04 15:30,10,0,0,0,-10,0,0,-10,0,0,0,10,10,0,0,0,-10,10,10,10,0,10,0,0,0,-30,0,10,-20,10,10,30,0,0,10,10,0,10,10,0,10,0,10,0,0,N,N,N,N
Average Hourly Earnings,2007.10.05 15:30,10,10,10,0,-20,20,10,0,0,0,20,0,0,0,20,0,20,10,0,10,0,0,20,10,30,110,0,0,50,0,0,60,0,0,10,10,10,160,0,70,-10,0,70,110,0,4U,U,4U,4U
