datetime,entry,sell_proba,agent_technical,tech_reason,agent_fundamental,fund_reason,both_confirm
2026-03-13 11:00:00,159.327,0.3314860108620262,REJECT,Weak signal or uptrend conflict,REJECT,No clear catalyst found,False
2026-03-16 03:00:00,159.294,0.29022566526353744,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-16 08:00:00,159.337,0.3370599775698322,REJECT,Weak signal or uptrend conflict,REJECT,No clear catalyst found,False
2026-03-16 13:00:00,159.216,0.3516031775729703,REJECT,Weak signal or uptrend conflict,REJECT,No clear catalyst found,False
2026-03-16 18:00:00,159.286,0.3802700554591095,REJECT,Weak signal or uptrend conflict,REJECT,No clear catalyst found,False
2026-03-17 02:00:00,159.129,0.2880082015826043,REJECT,Weak signal or uptrend conflict,REJECT,No clear catalyst found,False
2026-03-17 07:00:00,159.226,0.2932090201368456,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-17 12:00:00,159.124,0.3071026570449968,REJECT,Weak signal or uptrend conflict,REJECT,No clear catalyst found,False
2026-03-17 17:00:00,158.926,0.34695277628964,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-17 22:00:00,159.036,0.33255021240758476,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-18 03:00:00,159.061,0.337250856580975,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-18 08:00:00,158.694,0.3609378805730352,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-18 13:00:00,159.007,0.3225274173788512,REJECT,Weak signal or uptrend conflict,REJECT,No clear catalyst found,False
2026-03-18 18:00:00,159.479,0.3022849188348104,REJECT,Weak signal or uptrend conflict,REJECT,No clear catalyst found,False
2026-03-18 23:00:00,159.823,0.30042719171149523,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-19 05:00:00,159.652,0.3024853028693805,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-19 10:00:00,159.225,0.3065212597544181,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-19 15:00:00,158.902,0.2919219212036728,REJECT,Weak signal or uptrend conflict,REJECT,No clear catalyst found,False
2026-03-20 00:00:00,157.762,0.3029259265342428,REJECT,Weak signal or uptrend conflict,REJECT,No clear catalyst found,False
2026-03-20 06:00:00,158.384,0.2981191883921887,REJECT,Weak signal or uptrend conflict,REJECT,No clear catalyst found,False
2026-03-20 11:00:00,158.482,0.3118509925128663,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-20 16:00:00,159.015,0.28761703812874684,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-20 21:00:00,159.345,0.2893321974002217,REJECT,Weak signal or uptrend conflict,REJECT,No clear catalyst found,False
2026-03-23 02:00:00,159.141,0.32020350593398955,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-23 07:00:00,159.391,0.3125487237240999,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-23 12:00:00,159.538,0.30060729544580184,REJECT,Weak signal or uptrend conflict,REJECT,No clear catalyst found,False
2026-03-23 17:00:00,158.424,0.3178403590032221,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-23 22:00:00,158.409,0.29396437620695093,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-24 03:00:00,158.568,0.2886256018684033,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-24 08:00:00,158.62,0.3081712430379666,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-24 13:00:00,158.685,0.30982033288535116,REJECT,Weak signal or uptrend conflict,REJECT,No clear catalyst found,False
2026-03-24 18:00:00,158.895,0.30319286543840746,REJECT,Weak signal or uptrend conflict,REJECT,No clear catalyst found,False
2026-03-24 23:00:00,158.668,0.2951601535146969,REJECT,Weak signal or uptrend conflict,REJECT,No clear catalyst found,False
2026-03-25 04:00:00,158.711,0.36316481341872986,REJECT,Weak signal or uptrend conflict,REJECT,No clear catalyst found,False
2026-03-25 09:00:00,158.998,0.2896713026440544,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-25 14:00:00,158.845,0.31466670729683666,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-25 19:00:00,159.239,0.3000100522244475,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-26 01:00:00,159.393,0.42725383983304677,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-26 06:00:00,159.446,0.39025269091688614,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-26 11:00:00,159.46,0.40405058298607965,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-26 16:00:00,159.52,0.41071209881280957,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-26 21:00:00,159.738,0.3258051556107504,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-27 02:00:00,159.717,0.37390378389385126,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-27 07:00:00,159.616,0.3551185936685434,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-27 13:00:00,159.913,0.3094348916067757,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-27 18:00:00,160.16,0.320460479272196,REJECT,Weak signal or uptrend conflict,REJECT,No clear catalyst found,False
2026-03-30 14:00:00,159.51,0.2875946910386254,REJECT,Weak signal or uptrend conflict,REJECT,No clear catalyst found,False
2026-03-30 19:00:00,159.437,0.43399014518520074,REJECT,Weak signal or uptrend conflict,REJECT,No clear catalyst found,False
2026-03-31 00:00:00,159.71,0.3340713064866493,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-31 05:00:00,159.6,0.29837445717662614,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-31 10:00:00,159.638,0.319384140561081,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-31 15:00:00,159.358,0.3239390868420818,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-31 20:00:00,158.942,0.3125656288122104,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-04-01 01:00:00,158.721,0.29617261736121003,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
