open,high,low,close,volume,datetime
1.13448,1.13484,1.13411,1.13435,1557.0,2022-01-21 20:00:00
1.13435,1.13459,1.13402,1.13408,1407.0,2022-01-21 21:00:00
1.13408,1.13445,1.13376,1.13405,2188.0,2022-01-21 22:00:00
1.13405,1.13447,1.13384,1.13429,1491.0,2022-01-21 23:00:00
1.13429,1.13429,1.13373,1.1338,363.0,2022-01-24 00:00:00
1.1338,1.13444,1.13359,1.13405,1595.0,2022-01-24 01:00:00
1.13405,1.13405,1.13319,1.13378,1554.0,2022-01-24 02:00:00
1.13378,1.13389,1.13326,1.13363,1715.0,2022-01-24 03:00:00
1.13363,1.13371,1.13314,1.13318,1451.0,2022-01-24 04:00:00
1.13318,1.13334,1.13269,1.13283,921.0,2022-01-24 05:00:00
1.13283,1.13307,1.13272,1.13292,548.0,2022-01-24 06:00:00
1.13292,1.13294,1.13162,1.13173,1398.0,2022-01-24 07:00:00
1.13173,1.13227,1.13141,1.13227,1963.0,2022-01-24 08:00:00
1.13227,1.13287,1.13193,1.13232,2800.0,2022-01-24 09:00:00
1.13232,1.13315,1.13088,1.13207,6330.0,2022-01-24 10:00:00
1.13207,1.13357,1.13204,1.13246,4787.0,2022-01-24 11:00:00
1.13246,1.13275,1.13134,1.13179,5355.0,2022-01-24 12:00:00
1.13179,1.13211,1.13005,1.13036,4144.0,2022-01-24 13:00:00
1.13036,1.13095,1.12962,1.12969,4560.0,2022-01-24 14:00:00
1.12969,1.13065,1.12941,1.12952,6415.0,2022-01-24 15:00:00
1.12953,1.1303,1.129,1.12981,10412.0,2022-01-24 16:00:00
1.12981,1.13242,1.12906,1.13082,11249.0,2022-01-24 17:00:00
1.13082,1.13163,1.13038,1.131,6085.0,2022-01-24 18:00:00
1.131,1.13287,1.13088,1.13273,4326.0,2022-01-24 19:00:00
1.13273,1.13345,1.13268,1.13277,3672.0,2022-01-24 20:00:00
1.13277,1.13333,1.13171,1.13191,3686.0,2022-01-24 21:00:00
1.13191,1.13237,1.13178,1.132,3895.0,2022-01-24 22:00:00
1.132,1.1328,1.13176,1.13247,1387.0,2022-01-24 23:00:00
1.13245,1.13267,1.13197,1.13241,690.0,2022-01-25 00:00:00
1.13241,1.13286,1.13209,1.13231,1695.0,2022-01-25 01:00:00
1.13231,1.13234,1.13169,1.13194,1958.0,2022-01-25 02:00:00
1.13194,1.13229,1.13158,1.13161,1691.0,2022-01-25 03:00:00
1.13161,1.13178,1.13091,1.13121,1660.0,2022-01-25 04:00:00
1.13121,1.13133,1.13082,1.13118,1092.0,2022-01-25 05:00:00
1.13118,1.13158,1.13092,1.13113,837.0,2022-01-25 06:00:00
1.13113,1.13135,1.13075,1.13093,1045.0,2022-01-25 07:00:00
1.13093,1.13108,1.13044,1.13052,1698.0,2022-01-25 08:00:00
1.13053,1.13151,1.13009,1.13015,3225.0,2022-01-25 09:00:00
1.13015,1.1315,1.12912,1.1297,5776.0,2022-01-25 10:00:00
1.1297,1.12998,1.12837,1.12872,4540.0,2022-01-25 11:00:00
1.12872,1.12904,1.12794,1.12797,2833.0,2022-01-25 12:00:00
1.12797,1.12827,1.1268,1.12711,3184.0,2022-01-25 13:00:00
1.12711,1.12777,1.12658,1.12671,3234.0,2022-01-25 14:00:00
1.12671,1.12797,1.12666,1.12751,4818.0,2022-01-25 15:00:00
1.12751,1.12801,1.12626,1.12734,6649.0,2022-01-25 16:00:00
1.12734,1.12807,1.12686,1.12736,7980.0,2022-01-25 17:00:00
1.12736,1.12864,1.1271,1.12836,3924.0,2022-01-25 18:00:00
1.12836,1.12885,1.12815,1.12872,2272.0,2022-01-25 19:00:00
1.12872,1.12971,1.12856,1.12961,2487.0,2022-01-25 20:00:00
1.12961,1.13042,1.12934,1.13032,2051.0,2022-01-25 21:00:00
1.13032,1.13064,1.12959,1.13039,2508.0,2022-01-25 22:00:00
1.13039,1.13041,1.12994,1.13009,1190.0,2022-01-25 23:00:00
1.13009,1.13019,1.12938,1.13005,703.0,2022-01-26 00:00:00
1.13005,1.13052,1.12995,1.13023,1020.0,2022-01-26 01:00:00
1.13023,1.13053,1.13006,1.13027,965.0,2022-01-26 02:00:00
1.13026,1.13047,1.13011,1.13046,762.0,2022-01-26 03:00:00
1.13046,1.13101,1.13039,1.13056,1025.0,2022-01-26 04:00:00
1.13056,1.13088,1.13027,1.13051,1090.0,2022-01-26 05:00:00
1.13051,1.13053,1.13001,1.1301,851.0,2022-01-26 06:00:00
1.1301,1.13048,1.13001,1.13039,563.0,2022-01-26 07:00:00
1.13039,1.13046,1.12925,1.12928,1473.0,2022-01-26 08:00:00
1.12928,1.12959,1.12886,1.12905,2311.0,2022-01-26 09:00:00
1.12905,1.12968,1.12838,1.12874,4074.0,2022-01-26 10:00:00
1.12874,1.12909,1.12827,1.12861,3637.0,2022-01-26 11:00:00
1.12861,1.12874,1.12756,1.1281,2992.0,2022-01-26 12:00:00
1.1281,1.12832,1.12747,1.12782,2536.0,2022-01-26 13:00:00
1.12782,1.12854,1.12746,1.12756,3247.0,2022-01-26 14:00:00
1.12756,1.12825,1.1271,1.12817,4602.0,2022-01-26 15:00:00
1.12817,1.12957,1.1281,1.1283,5966.0,2022-01-26 16:00:00
1.1283,1.12871,1.12732,1.128,7171.0,2022-01-26 17:00:00
1.128,1.12867,1.12774,1.12783,3481.0,2022-01-26 18:00:00
1.12783,1.12877,1.12777,1.12873,2273.0,2022-01-26 19:00:00
1.12873,1.12939,1.12823,1.12838,2520.0,2022-01-26 20:00:00
1.12838,1.12997,1.12465,1.12547,32933.0,2022-01-26 21:00:00
1.12547,1.12547,1.12345,1.12396,16595.0,2022-01-26 22:00:00
1.12396,1.12433,1.12351,1.12383,1673.0,2022-01-26 23:00:00
1.12383,1.1241,1.12376,1.12401,373.0,2022-01-27 00:00:00
1.12401,1.12418,1.12349,1.12402,1227.0,2022-01-27 01:00:00
1.12402,1.12428,1.12315,1.12333,2900.0,2022-01-27 02:00:00
1.12333,1.1234,1.12298,1.12323,1639.0,2022-01-27 03:00:00
1.12322,1.12328,1.12256,1.1226,2495.0,2022-01-27 04:00:00
1.1226,1.12277,1.12204,1.12208,1872.0,2022-01-27 05:00:00
1.12208,1.12262,1.12181,1.12217,1085.0,2022-01-27 06:00:00
1.12217,1.12217,1.12148,1.12194,1382.0,2022-01-27 07:00:00
1.12194,1.12209,1.12145,1.12187,1910.0,2022-01-27 08:00:00
1.12187,1.12187,1.11958,1.1198,5584.0,2022-01-27 09:00:00
1.1198,1.12058,1.11924,1.12004,7537.0,2022-01-27 10:00:00
1.12004,1.1203,1.11943,1.11957,4821.0,2022-01-27 11:00:00
