feature,rf_imp,lgbm_imp,logreg_imp,is_noise,avg_imp,rf_vote,lgbm_vote,logreg_vote,total_votes
bWick14,0.7071064222883685,0.4655278515108576,0.04500987743071743,False,0.40588138374331456,1,0,0,1
wick_asym_mean,0.6061163466335205,0.5710704676782838,0.030674407981132686,False,0.4026204074309791,0,0,0,0
body_mean,0.5450153509265846,0.617945480639996,0.027149284511931777,False,0.3967033720261708,0,0,0,0
bWick15,0.5766595674951673,0.5899879818037597,0.015284762198005036,False,0.393977437165644,0,0,0,0
range_13,0.5881615125006994,0.5729316112770102,0.01782917347599355,False,0.39297409908456765,0,0,0,0
body14,0.5468469667599202,0.6062778568278291,0.018860978825525992,False,0.3906619341377584,0,0,0,0
noise_gaussian_2,0.4658071103334982,0.4950454434452936,0.21049105615018673,True,0.39044786997632613,0,0,1,1
body15,0.5542929035659665,0.6005650807833613,0.004866571865396128,False,0.38657485207157466,0,0,0,0
body_ratio_11,0.6620108048789851,0.4369893946541961,0.039995606781697036,False,0.37966526877162615,0,0,0,0
noise_uniform_2,0.3029482089045522,0.7788273315882505,0.0,True,0.3605918468309342,0,1,0,1
body12,0.0,0.0,0.09875822892170272,False,0.032919409640567575,0,0,0,0
