feature,rf_imp,lgbm_imp,logreg_imp,is_noise,avg_imp,rf_vote,lgbm_vote,logreg_vote,total_votes
bb_lower,0.049649054846701325,0.04579015541070731,0.048850275801998376,False,0.04809649535313567,0,1,0,1
hours_since_last_high,0.05176427793206487,0.07767496719372241,0.008890345353643045,False,0.046109863493143444,0,1,0,1
ema_10,0.035575295914455435,0.05966086955325176,0.037839406071836196,False,0.04435852384651446,0,1,0,1
med_events_next_24h,0.06727544392015265,0.0366820274806755,0.0285456501295901,False,0.04416770717680608,0,0,0,0
med_events_next_1h,0.06661207950644665,0.03895840012695999,0.025962941794807366,False,0.04384447380940467,0,0,0,0
cci_20,0.07620125531669693,0.04342262236477679,0.011886085938276935,False,0.04383665453991689,1,1,0,2
noise_poisson_1,0.07959456520551514,0.0472619085295394,0.004361394364265896,True,0.04373928936644014,1,1,0,2
sma_10,0.06941886528027319,0.04207126977377968,0.018942099311959237,False,0.043477411455337366,0,1,0,1
is_ecb_day,0.0774500864100868,0.03648720795991914,0.015561131300138628,False,0.04316614189004819,1,0,0,1
rolling_std_50,0.060416918541877855,0.0563036441685097,0.01042728884852638,False,0.04238261718630464,0,1,0,1
minus_di,0.09915817575491075,0.015242018821009742,0.009243248761103615,False,0.04121448111234137,1,0,0,1
close_lag_2,0.05747019882956033,0.03511521527843694,0.030186972180581396,False,0.04092412876285956,0,0,0,0
sma_20,0.05504902446306418,0.021485072857226457,0.046151769739459586,False,0.04089528901991674,0,0,0,0
ema_100,0.05740076057796365,0.05539926420370742,0.009269171416199692,False,0.04068973206595692,0,1,0,1
adx_14,0.04232279058586225,0.01082951147657817,0.062475767027713486,False,0.038542689696717966,0,0,1,1
ema_20,0.03861366001974379,0.03743046009513705,0.036130251052908076,False,0.03739145705592964,0,0,0,0
is_boe_day,0.07140966347826459,0.038395728326872394,0.0,False,0.036601797268379,0,0,0,0
is_snb_day,0.07140966347826459,0.038395728326872394,0.0,False,0.036601797268379,0,0,0,0
deviation_sum_24h,0.08722819066122348,0.011925958950070632,0.0040296497464857505,False,0.03439459978592662,1,0,0,1
noise_gaussian_1,0.030659279188650957,0.037749234825979014,0.0222620836206052,True,0.030223532545078386,0,0,0,0
ema_50,0.06037673600035151,0.023094197244960434,0.005755735492023691,False,0.029742222912445215,0,0,0,0
noise_gaussian_3,0.040618557355115534,0.03987493481171497,0.003947971544429878,True,0.028147154570420125,0,0,0,0
dow_sin,0.012885554129584536,0.02757195020876316,0.020940268463734597,False,0.020465924267360765,0,0,0,0
day_of_week,0.0058479697065928,0.02518767575610409,0.015929972326093885,False,0.015655205929596922,0,0,0,0
noise_sinusoidal,0.018865703249108908,0.0031759365899734463,0.01989825288282942,True,0.013979964240637258,0,0,0,0
